Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0805_2012Metric,118.11,-134.25,-90.0,top
C2,4.7u,C_0805_2012Metric,147.32,-129.54,0.0,top
C3,4.7u,C_0805_2012Metric,174.625,-134.25,-90.0,top
D1,TSAL6200,LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm,122.555,-121.285,-135.0,top
D2,TSAL6200,LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm,144.145,-114.3,180.0,top
D3,TSAL6200,LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm,169.902741,-121.029136,135.0,top
Q1,SFH 309 FA,LED_D3.0mm_Horizontal_O1.27mm_Z10.0mm,118.11,-125.095,-135.0,top
Q2,SFH 309 FA,LED_D3.0mm_Horizontal_O1.27mm_Z10.0mm,150.495,-115.57,180.0,top
Q3,SFH 309 FA,LED_D3.0mm_Horizontal_O1.27mm_Z10.0mm,173.99,-125.095,135.0,top
Q4,BS170,TO-92_Inline,132.715,-127.635,0.0,top
Q5,BS170,TO-92_Inline,147.32,-125.73,180.0,top
Q6,BS170,TO-92_Inline,158.75,-128.63,180.0,top
R1,1.8k,R_0603_1608Metric,118.11,-131.445,180.0,top
R2,1.8k,R_0603_1608Metric,156.21,-118.11,0.0,top
R3,1.8k,R_0603_1608Metric,174.625,-131.445,0.0,top
R4,100,R_0603_1608Metric,138.43,-123.825,180.0,top
R5,47k,R_0603_1608Metric,138.43,-125.73,0.0,top
R6,22,R_0603_1608Metric,131.89,-122.555,0.0,top
R7,100,R_0603_1608Metric,137.795,-118.745,180.0,top
R8,47k,R_0603_1608Metric,137.795,-120.65,0.0,top
R9,22,R_0603_1608Metric,137.795,-116.205,0.0,top
R10,100,R_0603_1608Metric,162.56,-119.38,0.0,top
R11,47k,R_0603_1608Metric,162.6235,-121.285,0.0,top
R12,22,R_0603_1608Metric,161.925,-123.825,0.0,top
